experiment,section,core,config,checkpoint,K_trained,n_boards,probe_file,key_result,full_data,status
conv_plan_concepts,5.1,convlstm_DRC(3.3),Guez2019/Bush2025 prior work,~2B,3,n/a,concept probes (Bush),"square-level approach-dir & box-push-dir decodable; form trajectories; refine over ticks; transfer OOD; causal",n/a,prior-work-citation (bush2025interpreting)
conv_iterative_propagation,5.1,convlstm,Taufeeque2024 prior work,n/a,n/a,n/a,reverse-engineering (Taufeeque),"iterative computation propagating plan info across spatial map",n/a,prior-work-citation (taufeeque2024planning)
resnet_plan_layers,5.1,resnet_24layer,Bush2025 prior work,n/a,n/a,n/a,concept probes (Bush),"same planning signatures; sharpen across layers",n/a,prior-work-citation (bush2025interpreting)
binding,5.2,dense_attn,attn_lstm D3 n100 (cell=square) fixed-depth,step58593(~300M),4,256,binding.log,"per-object BALANCED decode of tile from one cell h(sigma(s)); settled wall/box/target/agent = 0.806/0.780/0.795/0.854 (chance 0.50); flat over ticks","per-tick acc: wall [0.81,0.82,0.81,0.81]; box [0.84,0.80,0.78,0.78]; target [0.80,0.76,0.79,0.80]; agent [0.92,0.83,0.86,0.85]; npos wall17593 box1024 target1024 agent256","measured (fixed-4 n100 interp, prior run; read this session)"
recovery_of_N,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,256,e4.log,"routing mass vs graph distance: rho_g=0.57; self 0.018; d1 0.217; beyond-1hop 0.395; through-wall 0.00; goal-anchor 0.080; agent 0.022","PLOT_GRAPH_PROFILE=[0.0182,0.2168,0.2131,0.0537,0.0416,0.0231,0.0166,0.012,0.0115]; PLOT_EUCLID_PROFILE=[0.0182,0.5429,0.1879,0.095,0.0652,0.0299,0.0282,0.0165,0.0119]; PLOT_GOALWARD=[toward0.2508,equal0.1572,away0.2219]","measured (fixed-4); NB rho=0.57 here vs 0.66 in the vardepth run"
through_walls_causal,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,158,wall.log,"blocked vs open agent-latent influence ||dh|| = 0.149 (n=61) vs 0.484 (n=97); ratio 0.31; partial corr(final,graph|euclid) = -0.34","blocked: final 0.149 onset 1.49 euclid 4.5; open: final 0.484 onset 2.33 euclid 4.6","measured (fixed-4)"
thinking_curve,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,valid_medium,thinking.log,"solve rate vs test-time thinking depth: d1 0.199 -> d4 0.316 (plateau d4-8); d0=0.000; lift +0.316","solve by d1..d8=[0.199,0.271,0.288,0.316,0.316,0.316,-,0.316]; aux(box-frac)=[0.810,0.891,0.911,0.925,0.925,0.925,-,0.925]","measured (fixed-4); NB differs from vardepth 0.258->0.336"
lookahead_consistency,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,256,lookahead_ctrl.log,"policy vs one-step lookahead over OWN successor values: agree 0.438 (chance 0.25); SHUFFLE-V collapses to 0.279 (control)","PLOT_LACTRL={agree:0.438, agree_shuf:0.279, agree_r:0.305, agree_V:0.391, shuf:[0.254,0.305,0.277], shufV:[0.164,0.215,0.215], chance:0.25}","measured (fixed-4); shuffle control included"
bellman_consistency,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,256,bellman.log,"optimality residual/std(V) by greedy-depth 0-3 = [0.150,0.166,0.192,0.175] (low+flat); constant negative soft-Bellman gap","|V-max_a(r+gV(s'))| depth0-3=[0.268,0.296,0.342,0.312]; signed=[-0.158,-0.216,-0.248,-0.233]; TD-resid=[0.400,0.378,0.401,0.463]; gamma=0.97","measured (fixed-4); depth-agnostic property of the converged value"
per_tick_operator_E1,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,256,e1.log,"attention operator STATIONARY (no sharpening); contraction rho=0.857 (eff horizon ~7 ticks); settled coeff on (A v)=+0.02, R2=0.94","||h_t - h_final||=[1.061,0.839,0.716,0.601,0.515,0.449,0.388,0.325,0.262,0.195,0.121,0.000]; per-tick coeff(Av)~+0.02 R2 0.58->0.99","measured (fixed-4). NOTE log labels this 'amortized/policy-eval/SR' (DP framing); paper frames decision-time -- do not import 'amortized' wording"
reward_relabel_E2,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,189,e2.log,"goal-relabel (reward moved, P kept) shifts latent 0.29 vs wall-flip 0.12 (ratio 2.16); readout |dV|/std(V) 0.69 vs 0.33","reward-move latent 0.2907/0.2202; wall-flip 0.1205/0.1018; ratio 2.16; |dV|/std(V) 0.690 vs 0.331 (std 1.78)","measured (fixed-4); policy-evaluation vs successor-representation test"
E5_reach_horizon,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,held-out,e5.log,"reach horizon vs ticks (arrival rises with distance) -- RETRACTED artifact","PLOT_HORIZON=[1,4,8,9,9,9,9,9,9,9,9,9]; PLOT_ARRIVAL={1:1,2:2,3:2,4:2,5:3,6:3,7:4,8:3,9:4}","RETRACTED by plan_front (off-path ctrl slope>=on-path); DO NOT CITE"
localized_readout_140M,4.1/5.2,dense_attn,attn_lstm D3 vardepth entmax NO-mask,cp_139991040(140M),6,512,localized_readout.py,"readout NOT localized to agent cell: decode a0 agent 0.72 vs random 0.47 (chance 0.25); ablate-agent 0.996 = ablate-random 0.996 (no single cell necessary); keep-agent-only 0.29 = all-mean (not sufficient)","PLOT_LOCALREAD={dec_agent:0.718,dec_rand:0.466,dec_full:0.951,keep_agent:0.291,ablate_agent:0.996,ablate_rand:0.996,all_mean:0.291,chance:0.25}","MEASURED this session; REFUTES Assumption ass:readout for the dense core (distributed/redundant readout)"
localized_readout_300M,4.1/5.2,dense_attn,attn_lstm D3 vardepth entmax NO-mask,cp_299996160(300M),6,512,localized_readout.py,"more distributed at 300M: decode a0 agent 0.61 vs random 0.56 (gap nearly closed); ablate-agent 0.998 = ablate-random 0.996; keep-agent-only 0.31 = all-mean","PLOT_LOCALREAD={dec_agent:0.612,dec_rand:0.563,dec_full:0.913,keep_agent:0.307,ablate_agent:0.998,ablate_rand:0.996,all_mean:0.307,chance:0.25}","MEASURED this session; REFUTES ass:readout, effect strengthens with training"
plan_front,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,"on180/off177",plan_front.log,"marching-front test: on-path arrival-vs-distance slope 0.00 (CI[-0.033,0.133]); off-path slope 0.10 (CI[0.018,0.136]) => timing GLOBAL, no distance-graded front","agent_on=[0.05,0.133,0.205,0.258,0.295,0.314,0.334,0.351]; agent_off=[0.03,0.069,0.098,0.122,0.143,0.158,0.17,0.184]; per-distance ||dh|| means for j=4..12 in log","measured (fixed-4); SUPERSEDES E5"
plan_onset,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,held-out,plan_onset.log,"latent onset slope_lat 0.4; action onset slope_act 0.057; on-vs-off diff slope 2.0; diff-onset {d4:1,d5:4,d6:5,d7+:None}","act_final_on=[0.17,0.227,0.209,0.121,0.074,0.125]; act_final_off=[0.156,0.093,0.081,0.07,0.078,0.07,0.055]; lat_on/act_rate curves per distance in log","measured (fixed-4)"
far_edit_value_E6b,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,held-out,e6b.log,"far-side goal/box relocation: box move shifts readout more than goal, mb=1.425 vs mg=0.863 (sigma units)","goal=[0.391,0.252,0.21,0.182,0.189,0.182,0.211,0.222,0.229,0.232,0.223,0.208]; box=[0.428,0.209,0.128,0.13,0.11,0.079,0.062,0.053,0.052,0.053,0.055,0.054]; mg0.863 mb1.425","measured (fixed-4); real magnitudes (earlier '1.5/1.0' was approximate)"
new_physics_value_E9,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,held-out,e9.log,"on-path path-lengthening wall lowers decoded V dV_on=-1.174 vs off-path dV_off=-0.343; corr(dV,-ddist)=0.156","agt(per-tick)=[-0.083,0.056,0.087,0.089,0.086,0.093,0.111,0.15,0.151,0.147,0.146,0.156]; dd_on=4.23","measured (fixed-4)"
replan_reaches_agent_E10,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,held-out,e10.log,"out-of-view on-path wall reaches agent cell: ||dh|| on/off final 0.497/0.185 (2.68x); re-plan action rate on 0.183 vs off 0.033","dh_on=[0.0893,0.2081,0.322,0.3872,0.4094,0.4264,0.4469,0.4502,0.469,0.4768,0.489,0.4966]; dh_off=[0.03,0.0663,0.101,0.1189,0.1404,0.1495,0.1629,0.1631,0.1817,0.1817,0.1818,0.185]; act_on0.183 act_off0.033","measured (fixed-4, K=4). k6 variant (extended depth) in results/n100_interp_k6/e10.log"
box_push_value_E11,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,held-out,e11.log,"box-push value field: goalward 0.656; value-gradient=optimal 0.507; decoded push-dir 0.355","PLOT_E11={diracc:[0.533,0.534,0.49,0.475,0.489,0.503,0.489,0.499], goalward:0.656, reach:0.359, vg_dir:0.355, vg_true:0.507}","measured (fixed-4)"
box_push_dir_bands_E12,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,held-out,e12.log,"box-push direction decode by push-distance band x tick; onset [1,1,1,1] (no wavefront)","bands=[d1-2,d3-5,d6-8,d9+]; acc & gw per-tick 8x4 matrices in log; onset=[1,1,1,1]","measured (fixed-4)"
decision_over_ticks_E13,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,held-out,e13.log,"action optimality rises 0.51->0.59 over ticks (settled 0.59); change-rate 0.332->0; margin 1.06->3.59; improvement largest for far bands","opt_all=[0.51,0.533,0.572,0.572,0.59,0.588,0.59,0.59]; chg_all=[0.332,0.193,0.109,0.096,0.064,0.045,0.018,0.0]; margin=[1.058,2.722,3.226,3.423,3.482,3.492,3.551,3.586]; chg1K_band=[0.354,0.336,0.311,0.303]; bands d1-3/d4-7/d8-12/d13+","measured (fixed-4); decision refines with computation"
value_amortization_VT,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,held-out,value_ticks.log,"value-field convergence over ticks: corrV 0.659->1.0 (settle by ~tick4); field cosine 0.53->1.0; dV contracts","PLOT_VT={Vmean:[0.187,0.904,1.05,0.884,0.695,0.602,0.562,0.527], dV:[-,1.006,0.554,0.41,0.358,0.273,0.207,0.202], corrV:[0.659,0.89,0.959,1.0,0.969,0.94,0.928,0.913], field_cos:[0.531,0.782,0.912,1.0,0.943,0.901,0.873,0.854]}","measured (fixed-4)"
plan_decodability,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,512,planq.log,"decode executed actions a0..a5 from readout: mostly a0; plan-quality/tick [0.38,0.38,0.43,0.44]; a1-a5 near chance","a2(ch0.28)=[0.32,0.35,0.31,0.26]; a3(ch0.34)=[0.29,0.29,0.30,0.37]; a4(ch0.31)=[0.37,0.25,0.36,0.31]; a5(ch0.27)=[0.33,0.28,0.32,0.33]; planquality/tick=[0.38,0.38,0.43,0.44]","measured (fixed-4)"
search_signatures,5.2,dense_attn,attn_lstm D3 n100 fixed-depth,step58593(~300M),4,held-out,search.log,"per-tick: next-action a0@agent 0.63->0.77; plan move-dir field 0.42->0.45; on-path membership 0.68; reach-time R2 0.36->0.30","a0@agent(ch0.25)=[0.63,0.79,0.77,0.77]; plan-dir(ch0.25)=[0.42,0.41,0.40,0.45]; on-path(bal0.5)=[0.68,0.67,0.68,0.68]; reach-R2=[0.36,0.31,0.31,0.30]","measured (fixed-4)"
slot_binding_decode,5.3,slot,slot_lstm content-addressed n50/n100 D3 fixed-4 entmax,cp_299996160(300M),4,256,slot_binding_decode.py,"winning-slot tile decode vs random slot: n50 mean 0.706 vs 0.503; n100 mean 0.666 vs 0.488","n50 winning wall/floor/box/target/agent=[0.685,0.667,0.656,0.695,0.825] random mean 0.503; n100=[0.640,0.622,0.651,0.659,0.757] random mean 0.488","MEASURED this session"
slot_routing_E4,5.3,slot,slot_lstm content-addressed n50/n100,cp_299996160(300M),4,256,e4_slot.py,"routing broadcast: rho_g 0.967(n50)/0.946(n100); group-corrected landmark enrichment target 0.83x/1.04x, agent 0.94x/1.08x (~1x=none); beyond-1hop 0.70/0.72","n50 PLOT_SCALARS={rho_g:0.9669,self:0.0281,d1:0.1484,beyond1:0.7047,unreach:0.0,target:0.1471,agent:0.0808,target_enr:0.827,agent_enr:0.94,slots_used:30.33}; n100 {rho_g:0.9462,beyond1:0.7205,target_enr:1.041,agent_enr:1.075,slots_used:53.76}","MEASURED this session (group-correction fix)"
slot_binding_geometry,5.3,slot,slot_lstm content-addressed n50/n100,cp_299996160(300M),4,256,slot_binding_geometry.py,"soft pointer: spike 0.124(n50)/0.112(n100) on 1 square + flat floor; read-spread/uniform 0.99/1.04 (not a blob)","n50 PLOT_GEOM={spread:0.989,navmass:0.407,inj:0.638,comp_ent:3.56,radial:[0.1239,0.0148,0.0101,0.0084,0.0075,0.0082]}; n100 {spread:1.036,navmass:0.363,inj:0.789,radial:[0.1124,0.0133,0.0093,0.0082,0.0076,0.0089]}","MEASURED this session"
slot_role_consistency,5.3,slot,slot_lstm content-addressed n50/n100,cp_299996160(300M),4,256,slot_role_consistency.py,"re-indexes per task: 0 position-locked; pos-spread 1.05(n50)/1.13(n100) vs navigable-null; agent-slot idx entropy 1.37/2.42 (<<lnN), top-1 54%/32%","n50 PLOT_CONSIST={pos_spread:1.049,agent_idx_ent:1.368,agent_top1:0.535,target_idx_ent:3.204,lnN:3.912}; n100 {pos_spread:1.13,agent_idx_ent:2.423,agent_top1:0.316,lnN:4.605}","MEASURED this session"
slot_causal_value_E10,5.3,slot,slot_lstm content-addressed n100,cp_299996160(300M),4,held-out,e10_slot.log,"out-of-view wall reaches bound slot on/off 2.21x (2.24x trained depth); re-plan 0.074 vs 0.000 off-path","on/off ratio 2.21x; re-plan act 0.074 vs 0.000 (K=12)","from 2026-06-26 logs (not re-run this session): slot HAS a causally-sensitive value"
